H2                           1    38.000     2.920     0.000     0.790   280.000
H                            0   145.000     2.050     0.000     0.000     0.000
N2                           1    97.530     3.621     0.000     1.760     4.000
N                            0    71.400     3.298     0.000     0.000     0.000
NH                           1    80.000     2.650     0.000     0.000     4.000
NH2                          2    80.000     2.650     0.000     2.260     4.000
NNH                          2    71.400     3.798     0.000     0.000     1.000
N2H2                         2    71.400     3.798     0.000     0.000     1.000
N2H3                         2   200.000     3.900     0.000     0.000     1.000
N2H4                         2   205.000     4.230     0.000     4.260     1.500
HF                           1   330.000     3.148     1.920     2.460     1.000
F                            0    80.000     2.750     0.000     0.000     0.000
SIF4                         2   171.900     4.880     0.000     0.000     1.000
SIF3                         2   309.600     4.359     0.000     0.000     1.000
SIHF3                        2   180.800     4.681     0.000     0.000     1.000
SIF3NH2                      2   231.000     4.975     0.000     0.000     1.000
NH3                          2   481.000     2.920     1.470     0.000    10.000
